Case #1:
1   1
Case #2:
1   1
2   1
3   1
4   1
Case #3:
1   1
2   1
3   1
4   2
5   2
6   2
6   1
7   1
8   1
9   1
Case #4:
1   1
2   1
3   1
4   2
5   2
6   3
7   3
8   4
9   4
10   5
11   5
12   6
13   6
14   7
15   7
16   8
17   8
18   9
19   9
20   10
21   10
22   11
23   11
24   12
25   12
26   13
27   13
28   14
29   14
30   15
31   15
32   16
33   16
34   17
35   17
36   18
37   18
38   19
39   19
40   20
41   20
42   21
43   21
44   22
44   21
45   21
45   20
45   19
45   18
45   17
45   16
45   15
45   14
45   13
46   13
46   12
46   11
47   11
47   10
47   9
47   8
48   8
48   7
49   7
50   7
50   6
51   6
52   6
52   5
53   5
54   5
55   5
55   4
56   4
57   4
57   3
58   3
59   3
60   3
61   3
62   3
63   3
64   3
65   3
66   3
67   3
68   3
69   3
70   3
70   2
71   2
72   2
73   2
74   2
75   2
76   2
77   2
78   2
79   2
80   2
81   2
82   2
83   2
84   2
85   2
86   2
87   2
88   2
89   2
90   2
91   2
92   2
93   2
94   2
95   2
96   2
97   2
97   1
98   1
99   1
100   1
101   1
102   1
103   1
104   1
105   1
106   1
107   1
108   1
109   1
110   1
111   1
112   1
113   1
114   1
115   1
116   1
117   1
118   1
119   1
120   1
